SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	sample_accession	experiment_accession	geographic_location	library_name	site_name	sample_description	base_count	sample_title	Description	Reads	Shannon	Chao1	ACE
ERR2233277	ERR2233277_1.fastq	ERR2233277_2.fastq	Lewes, Delaware	SAMEA104452346	ERX2286256	Lewes, Delaware	CS 6 WB 622	Cape Shores	worm burrow	41490320	bioturb_CS 6 WB 622	bioturb_CS 6 WB 622	24342	7.38153877450015	12978.4242152466	15256.9381730221
ERR2233278	ERR2233278_1.fastq	ERR2233278_2.fastq	Lewes, Delaware	SAMEA104452347	ERX2286257	Lewes, Delaware	CS6 WB II 722	Cape Shores	worm burrow	43946826	bioturb_CS6 WB II 722	bioturb_CS6 WB II 722	24342	7.22481854260977	9726.15303738318	10607.4461065636
ERR2233279	ERR2233279_1.fastq	ERR2233279_2.fastq	Lewes, Delaware	SAMEA104452348	ERX2286258	Lewes, Delaware	CS6 WB 919	Cape Shores	worm burrow	31656299	bioturb_CS6 WB 919	bioturb_CS6 WB 919	24342	7.7988438848631	15094.3716690042	18266.4514072569
ERR2233316	ERR2233316_1.fastq	ERR2233316_2.fastq	Netherlands	SAMEA104452385	ERX2286295	Netherlands	OB_Site_A_burrow	Oude Bieten Haven A	Worm burrow	28730220	bioturb_OB_Site_A_burrow	bioturb_OB_Site_A_burrow	24342	5.57865496203288	1334.96774193548	1287.94328908818
ERR2233317	ERR2233317_1.fastq	ERR2233317_2.fastq	Netherlands	SAMEA104452386	ERX2286296	Netherlands	OB_Site_B_burrow	Oude Bieten Haven B	Worm burrow	15365772	bioturb_OB_Site_B_burrow	bioturb_OB_Site_B_burrow	24342	6.00882816795521	4657.98605577689	5059.75659278495
ERR2233318	ERR2233318_1.fastq	ERR2233318_2.fastq	Netherlands	SAMEA104452387	ERX2286297	Netherlands	OB_Site_A_oxic	Oude Bieten Haven A	sediment	24168820	bioturb_OB_Site_A_oxic	bioturb_OB_Site_A_oxic	24342	6.45653701433593	9024.00818833163	10535.775134342
ERR2233319	ERR2233319_1.fastq	ERR2233319_2.fastq	Netherlands	SAMEA104452388	ERX2286298	Netherlands	OB_Site_B_oxic	Oude Bieten Haven B	sediment	25253374	bioturb_OB_Site_B_oxic	bioturb_OB_Site_B_oxic	24342	6.59874391676579	10032.4316109422	11799.0570615792
ERR2233320	ERR2233320_1.fastq	ERR2233320_2.fastq	Netherlands	SAMEA104452389	ERX2286299	Netherlands	OB_Site_A_anoxic	Oude Bieten Haven A	sediment	28342255	bioturb_OB_Site_A_anoxic	bioturb_OB_Site_A_anoxic	24342	6.96332990455546	12414.0587275693	14680.532866199
ERR2233321	ERR2233321_1.fastq	ERR2233321_2.fastq	Netherlands	SAMEA104452390	ERX2286300	Netherlands	OB_Site_B_anoxic	Oude Bieten Haven B	sediment	29520771	bioturb_OB_Site_B_anoxic	bioturb_OB_Site_B_anoxic	24342	6.83261309824394	12194.4008474576	14118.1847655372
ERR2233304	ERR2233304_1.fastq	ERR2233304_2.fastq	Oregon Continental Shelf	SAMEA104452373	ERX2286283	Oregon Continental Shelf	289 int 1 1	HH200	sediment	33199506	bioturb_289 int 1 1	bioturb_289 int 1 1	24342	6.92046734573375	13381.4829015544	15328.7002813648
ERR2233305	ERR2233305_1.fastq	ERR2233305_2.fastq	Oregon Continental Shelf	SAMEA104452374	ERX2286284	Oregon Continental Shelf	289 int 1	HH200	sediment	34024466	bioturb_289 int 1	bioturb_289 int 1	24342	7.06912275044585	13855.626953125	16430.4323680747
ERR2233306	ERR2233306_1.fastq	ERR2233306_2.fastq	Oregon Continental Shelf	SAMEA104452375	ERX2286285	Oregon Continental Shelf	290 int 2 1	HH200	sediment	31032790	bioturb_290 int 2 1	bioturb_290 int 2 1	24342	7.04709792752862	12776.5603532875	14921.2914284922
ERR2233307	ERR2233307_1.fastq	ERR2233307_2.fastq	Oregon Continental Shelf	SAMEA104452376	ERX2286286	Oregon Continental Shelf	290 int 2	HH200	sediment	39643111	bioturb_290 int 2	bioturb_290 int 2	24342	6.2504788843588	11237.588845655	12961.2822361909
ERR2233308	ERR2233308_1.fastq	ERR2233308_2.fastq	Oregon Continental Shelf	SAMEA104452377	ERX2286287	Oregon Continental Shelf	291 int  3 1	HH200	sediment	43306315	bioturb_291 int  3 1	bioturb_291 int  3 1	24342	5.25652020751702	9684.0802919708	11082.7155161519
