New.ReferenceOTU955	ERR2233315_5044842
New.ReferenceOTU956	ERR2233313_4922142
New.ReferenceOTU957	ERR2233305_4433168
New.ReferenceOTU950	ERR2233237_509832
New.ReferenceOTU951	ERR2233276_2753078
New.ReferenceOTU952	ERR2233278_2859105
New.ReferenceOTU953	ERR2233253_1401456
New.ReferenceOTU1406	ERR2233232_230011
New.ReferenceOTU1407	ERR2233315_5050777
New.ReferenceOTU1912	ERR2233285_3247513
New.ReferenceOTU1913	ERR2233248_1066060
New.ReferenceOTU1910	ERR2233257_1631373
New.ReferenceOTU1911	ERR2233245_905199
New.ReferenceOTU1916	ERR2233247_998020
New.ReferenceOTU1917	ERR2233261_1882233
New.ReferenceOTU1914	ERR2233292_3755185
New.ReferenceOTU1915	ERR2233286_3333520
New.ReferenceOTU1918	ERR2233315_5081516
New.ReferenceOTU1919	ERR2233306_4469638
New.ReferenceOTU639	ERR2233267_2197698
New.ReferenceOTU638	ERR2233281_3056973
New.ReferenceOTU631	ERR2233279_2945386
New.ReferenceOTU630	ERR2233279_2931833
New.ReferenceOTU633	ERR2233253_1407528
New.ReferenceOTU632	ERR2233236_477807
New.ReferenceOTU635	ERR2233239_628727
New.ReferenceOTU634	ERR2233286_3364818
New.ReferenceOTU637	ERR2233252_1336809
New.ReferenceOTU636	ERR2233237_510416
New.ReferenceOTU1220	ERR2233255_1523477
New.ReferenceOTU1221	ERR2233286_3354764
New.ReferenceOTU1222	ERR2233292_3716176
New.ReferenceOTU1223	ERR2233303_4317522
New.ReferenceOTU1224	ERR2233232_241239
New.ReferenceOTU1225	ERR2233257_1689496
New.ReferenceOTU1226	ERR2233312_4868189
New.ReferenceOTU1227	ERR2233280_2954377
New.ReferenceOTU1228	ERR2233283_3140164
New.ReferenceOTU1229	ERR2233309_4648780
New.ReferenceOTU1682	ERR2233249_1129931
New.ReferenceOTU1683	ERR2233254_1477500
New.ReferenceOTU1680	ERR2233258_1706070
New.ReferenceOTU1681	ERR2233233_302128
